id relation
0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>
1 <http://www.w3.org/2000/01/rdf-schema#subPropertyOf>
2 <http://www.w3.org/2000/01/rdf-schema#subClassOf>
3 <http://www.w3.org/2000/01/rdf-schema#domain>
4 <http://www.w3.org/2000/01/rdf-schema#range>
5 <http://www.w3.org/2002/07/owl#sameAs>
6 <http://www.w3.org/2002/07/owl#imports>
7 <http://www.w3.org/2002/07/owl#inverseOf>
8 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_accessed_at_date>
9 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/am_research_item_refers_to_file>
10 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_created_at_date>
11 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_created_at_location>
12 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_edited_by>
13 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/has_file_format>
14 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/has_url>
15 <http://erlangen-crm.org/200717/P1_is_identified_by>
16 <http://erlangen-crm.org/200717/P43_has_dimension>
17 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_has_running_time>
18 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_map_scale>
19 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_numeration>
20 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_page_size>
21 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_pixel_size>
22 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_provided_by>
23 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_published_by>
24 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/information_carrier_published_in>
25 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/is_described_by_note>
26 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/is_described_by_taxonomy_tag>
27 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/note_refers_to_note_pointer>
28 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/taxonomy_tag_has_broader_term>
29 <http://www.w3.org/2002/07/owl#members>
30 <http://www.w3.org/1999/02/22-rdf-syntax-ns#first>
31 <http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>
32 <http://www.w3.org/2002/07/owl#onProperty>
33 <http://www.w3.org/2002/07/owl#someValuesFrom>
34 <http://www.w3.org/2002/07/owl#disjointWith>
35 <http://erlangen-crm.org/200717/P14_carried_out_by>
36 <http://erlangen-crm.org/200717/P4_has_time-span>
37 <http://erlangen-crm.org/200717/P94i_was_created_by>
38 <http://erlangen-crm.org/200717/P12i_was_present_at>
39 <http://erlangen-crm.org/200717/P11_had_participant>
40 <http://erlangen-crm.org/200717/P67_refers_to>
41 <http://erlangen-crm.org/200717/P102_has_title>
42 <http://erlangen-crm.org/200717/P2_has_type>
43 <http://erlangen-crm.org/200717/P89i_contains>
44 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/genre>
45 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/identifier_group_uncontrolled_type>
46 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/language_of_resource>
47 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/place_of_origin>
48 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/related_item>
49 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/name_obj_prop>
50 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/origin_info_of_resource>
51 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/physical_description_of_resource>
52 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/icdl_video_refers_to_file>
53 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/language_has_language_term>
54 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/name_has_name_part>
55 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/resource_has_subject>
56 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/title_info>
57 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/related_item_to_resource>
58 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/name_has_name_role>
59 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/name_container_has_name>
60 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/name_container_has_name_role>
61 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/origin_info_has_date>
62 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/physical_description_has_form_digital>
63 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/physical_description_form_has_extent_group_analog>
64 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/physical_description_form_has_extent_group_digital>
65 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/physical_description_has_form_analog>
66 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple_mods/resource_has_target_audience>
67 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/origin_information_has_city>
68 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/origin_information_has_country>
69 <http://www.wisski.uni-bayreuth.de/ontologies/africamultiple/origin_information_has_province>
